biomodels_luid	name	format	format_version	publication_title	publication_year
BIOMD0000000069	Fuss2006_MitoticActivation	SBML	L2V1	Bistable switching and excitable behaviour in the activation of Src at mitosis.	2006.0
BIOMD0000000070	Holzhutter2004_Erythrocyte_Metabolism	SBML	L2V1	The principle of flux minimization and its application to estimate stationary fluxes in metabolic networks.	2004.0
BIOMD0000000071	Bakker2001_Glycolysis	SBML	L2V1	Roles of triosephosphate isomerase and aerobic metabolism in Trypanosoma brucei.	2001.0
BIOMD0000000072	Yi2003_GproteinCycle	SBML	L2V1	A quantitative characterization of the yeast heterotrimeric G protein cycle.	2003.0
BIOMD0000000073	Leloup2003_CircClock_DD	SBML	L2V1	Toward a detailed computational model for the mammalian circadian clock.	2003.0
BIOMD0000000074	Leloup2003_CircClock_DD_REV-ERBalpha	SBML	L2V1	Toward a detailed computational model for the mammalian circadian clock.	2003.0
BIOMD0000000075	Xu2003 - Phosphoinositide turnover	SBML	L3V1	Kinetic analysis of receptor-activated phosphoinositide turnover.	2003.0
BIOMD0000000076	Cronwright2002_Glycerol_Synthesis	SBML	L2V1	Metabolic control analysis of glycerol synthesis in Saccharomyces cerevisiae.	2002.0
BIOMD0000000077	Blum2000_LHsecretion_1	SBML	L2V4	A mathematical model quantifying GnRH-induced LH secretion from gonadotropes.	2000.0
BIOMD0000000078	Leloup2003_CircClock_LD	SBML	L2V1	Toward a detailed computational model for the mammalian circadian clock.	2003.0
BIOMD0000000079	Goldbeter2006_weightCycling	SBML	L2V4	A model for the dynamics of human weight cycling.	2006.0
BIOMD0000000080	Thomsen1989_AdenylateCyclase	SBML	L2V1	Rapid kinetics of alpha 2-adrenergic inhibition of adenylate cyclase. Evidence for a distal rate-limiting step.	1989.0
BIOMD0000000081	Suh2004_KCNQ_Regulation	SBML	L3V1	Regulation of KCNQ2/KCNQ3 current by G protein cycling: the kinetics of receptor-mediated signaling by Gq.	2004.0
BIOMD0000000082	Thomsen1988_AdenylateCyclase_Inhibition	SBML	L2V1	Inhibition of adenylate cyclase is mediated by the high affinity conformation of the alpha 2-adrenergic receptor.	1988.0
BIOMD0000000083	Leloup2003_CircClock_LD_REV-ERBalpha	SBML	L2V4	Toward a detailed computational model for the mammalian circadian clock.	2003.0
BIOMD0000000084	Hornberg2005_ERKcascade	SBML	L2V1	Principles behind the multifarious control of signal transduction. ERK phosphorylation and kinase/phosphatase control.	2005.0
BIOMD0000000085	Maurya2005_GTPaseCycle_reducedOrder	SBML	L2V1	Reduced-order modelling of biochemical networks: application to the GTPase-cycle signalling module.	2005.0
BIOMD0000000086	Bornheimer2004_GTPaseCycle	SBML	L2V1	Computational modeling reveals how interplay between components of a GTPase-cycle module regulates signal transduction.	2004.0
BIOMD0000000087	Proctor2006_telomere	SBML	L2V1	Modelling the checkpoint response to telomere uncapping in budding yeast.	2007.0
BIOMD0000000088	Maeda2006_MyosinPhosphorylation	SBML	L2V1	Ca2+ -independent phospholipase A2-dependent sustained Rho-kinase activation exhibits all-or-none response.	2006.0
BIOMD0000000089	Locke2006_CircClock_LL	SBML	L2V3	Experimental validation of a predicted feedback loop in the multi-oscillator clock of Arabidopsis thaliana.	2006.0
BIOMD0000000090	Wolf2001_Respiratory_Oscillations	SBML	L2V1	Mathematical analysis of a mechanism for autonomous metabolic oscillations in continuous culture of Saccharomyces cerevisiae.	2001.0
BIOMD0000000091	Proctor2005 - Actions of chaperones and their role in ageing	SBML	L2V1	Modelling the actions of chaperones and their role in ageing.	2005.0
BIOMD0000000092	Fuentes2005_ZymogenActivation	SBML	L2V1	Kinetics of intra- and intermolecular zymogen activation with formation of an enzyme-zymogen complex.	2005.0
BIOMD0000000093	Yamada2003_JAK_STAT_pathway	SBML	L2V1	Control mechanism of JAK/STAT signal transduction pathway.	2003.0
BIOMD0000000094	Yamada2003_JAK_STAT_SOCS1_knockout	SBML	L2V1	Control mechanism of JAK/STAT signal transduction pathway.	2003.0
BIOMD0000000095	Zeilinger2006_PRR7-PRR9-Y	SBML	L2V1	A novel computational model of the circadian clock in Arabidopsis that incorporates PRR7 and PRR9.	2006.0
BIOMD0000000096	Zeilinger2006_PRR7-PRR9light-Y	SBML	L2V1	A novel computational model of the circadian clock in Arabidopsis that incorporates PRR7 and PRR9.	2006.0
BIOMD0000000097	Zeilinger2006_PRR7-PRR9light-Yprime	SBML	L2V1	A novel computational model of the circadian clock in Arabidopsis that incorporates PRR7 and PRR9.	2006.0
BIOMD0000000098	Goldbeter1990_CalciumSpike_CICR	SBML	L2V1	Minimal model for signal-induced Ca2+ oscillations and for their frequency encoding through protein phosphorylation.	1990.0
BIOMD0000000099	Laub1998_SpontaneousOscillations	SBML	L2V1	A molecular network that produces spontaneous oscillations in excitable cells of Dictyostelium.	1998.0
BIOMD0000000100	Rozi2003_GlycogenPhosphorylase_Activation	SBML	L2V1	A theoretical study of effects of cytosolic Ca2+ oscillations on activation of glycogen phosphorylase.	2003.0
BIOMD0000000101	Vilar2006_TGFbeta	SBML	L2V1	Signal processing in the TGF-beta superfamily ligand-receptor network.	2006.0
BIOMD0000000102	Legewie2006_apoptosis_WT	SBML	L2V1	Mathematical modeling identifies inhibitors of apoptosis as mediators of positive feedback and bistability.	2006.0
BIOMD0000000103	Legewie2006_apoptosis_NC	SBML	L2V1	Mathematical modeling identifies inhibitors of apoptosis as mediators of positive feedback and bistability.	2006.0
BIOMD0000000104	Klipp2002_MetabolicOptimization_linearPathway(n=2)	SBML	L2V1	Prediction of temporal gene expression. Metabolic opimization by re-distribution of enzyme activities.	2002.0
BIOMD0000000105	Proctor2007 - Age related decline of proteolysis, ubiquitin-proteome system	SBML	L2V4	An in silico model of the ubiquitin-proteasome system that incorporates normal homeostasis and age-related decline.	2007.0
BIOMD0000000106	Yang2007_ArachidonicAcid	SBML	L2V1	Dynamic simulations on the arachidonic acid metabolic network.	2007.0
BIOMD0000000107	Novak1993 - Cell cycle M-phase control	SBML	L2V4	Numerical analysis of a comprehensive model of M-phase control in Xenopus oocyte extracts and intact embryos.	1993.0
BIOMD0000000108	Kowald2006_SOD	SBML	L2V1	Alternative pathways as mechanism for the negative effects associated with overexpression of superoxide dismutase.	2006.0
BIOMD0000000109	Haberichter2007_cellcycle	SBML	L2V1	A systems biology dynamical model of mammalian G1 cell cycle progression.	2007.0
BIOMD0000000110	Qu2003_CellCycle	SBML	L2V4	Dynamics of the cell cycle: checkpoints, sizers, and timers.	2003.0
BIOMD0000000111	Novak2001_FissionYeast_CellCycle	SBML	L2V4	Mathematical model of the cell division cycle of fission yeast.	2001.0
BIOMD0000000112	Clarke2006_Smad_signalling	SBML	L2V1	Systems theory of Smad signalling.	2006.0
BIOMD0000000113	Dupont1992_Ca_dpt_protein_phospho	SBML	L2V1	Protein phosphorylation driven by intracellular calcium oscillations: a kinetic analysis.	1992.0
BIOMD0000000114	Somogyi1990_CaOscillations	SBML	L2V1	Hormone-induced calcium oscillations in liver cells can be explained by a simple one pool model.	1991.0
BIOMD0000000115	Somogyi1990_CaOscillations_SingleCaSpike	SBML	L2V1	Hormone-induced calcium oscillations in liver cells can be explained by a simple one pool model.	1991.0
BIOMD0000000116	McClean2007_CrossTalk	SBML	L2V1	Cross-talk and decision making in MAP kinase pathways.	2007.0
BIOMD0000000117	Dupont1991_CaOscillation	SBML	L2V1	Signal-induced Ca2+ oscillations: properties of a model based on Ca(2+)-induced Ca2+ release.	1991.0
BIOMD0000000118	Golomb2006_SomaticBursting	SBML	L2V1	Contribution of persistent Na+ current and M-type K+ current to somatic bursting in CA1 pyramidal cells: combined experimental and modeling study.	2006.0
BIOMD0000000119	Golomb2006_SomaticBursting_nonzero[Ca]	SBML	L2V1	Contribution of persistent Na+ current and M-type K+ current to somatic bursting in CA1 pyramidal cells: combined experimental and modeling study.	2006.0
BIOMD0000000120	Chan2004_TCell_receptor_activation	SBML	L2V1	Feedback control of T-cell receptor activation.	2004.0
BIOMD0000000121	Clancy2001_Kchannel	SBML	L2V1	Cellular consequences of HERG mutations in the long QT syndrome: precursors to sudden cardiac death.	2001.0
BIOMD0000000122	Fisher2006_Ca_Oscillation_dpdnt_NFAT_dynamics	SBML	L2V1	NFAT and NFkappaB activation in T lymphocytes: a model of differential activation of gene expression.	2006.0
BIOMD0000000123	Fisher2006_NFAT_Activation	SBML	L2V1	NFAT and NFkappaB activation in T lymphocytes: a model of differential activation of gene expression.	2006.0
BIOMD0000000124	Wu2006_K+Channel	SBML	L2V1	Diethyl pyrocarbonate, a histidine-modifying agent, directly stimulates activity of ATP-sensitive potassium channels in pituitary GH(3) cells.	2006.0
BIOMD0000000125	Komarova2005_TheoreticalFramework_BasicArchitecture	SBML	L2V1	A theoretical framework for specificity in cell signaling.	2005.0
BIOMD0000000126	Clancy2002_CardiacSodiumChannel_WT	SBML	L2V1	Na(+) channel mutation that causes both Brugada and long-QT syndrome phenotypes: a simulation study of mechanism.	2002.0
BIOMD0000000127	Izhikevich2003_SpikingNeuron	SBML	L2V4	Simple model of spiking neurons.	2003.0
BIOMD0000000128	Bertram2006_Endothelin	SBML	L2V1	Endothelin action on pituitary lactotrophs: one receptor, many GTP-binding proteins.	2006.0
BIOMD0000000129	Izhikevich2004_SpikingNeurons_inhibitionInducedSpiking	SBML	L2V4	Which model to use for cortical spiking neurons?	2004.0
BIOMD0000000130	Izhikevich2004_SpikingNeurons_integrator	SBML	L2V4	Which model to use for cortical spiking neurons?	2004.0
BIOMD0000000131	Izhikevich2004_SpikingNeurons_reboundBurst	SBML	L2V4	Which model to use for cortical spiking neurons?	2004.0
BIOMD0000000132	Izhikevich2004_SpikingNeurons_reboundSpike	SBML	L2V4	Which model to use for cortical spiking neurons?	2004.0
BIOMD0000000133	Izhikevich2004_SpikingNeurons_resonator	SBML	L2V4	Which model to use for cortical spiking neurons?	2004.0
BIOMD0000000134	Izhikevich2004_SpikingNeurons_SpikeLatency	SBML	L2V4	Which model to use for cortical spiking neurons?	2004.0
BIOMD0000000135	Izhikevich2004_SpikingNeurons_subthresholdOscillations	SBML	L2V4	Which model to use for cortical spiking neurons?	2004.0
BIOMD0000000136	Izhikevich2004_SpikingNeurons_thresholdVariability	SBML	L2V4	Which model to use for cortical spiking neurons?	2004.0
BIOMD0000000137	Sedaghat2002_InsulinSignalling_noFeedback	SBML	L2V1	A mathematical model of metabolic insulin signaling pathways.	2002.0
BIOMD0000000138	Tabak2007_dopamine	SBML	L2V1	Low dose of dopamine may stimulate prolactin secretion by increasing fast potassium currents.	2007.0
BIOMD0000000139	Hoffmann2002_KnockOut_IkBNFkB_Signaling	SBML	L2V1	The IkappaB-NF-kappaB signaling module: temporal control and selective gene activation.	2002.0
BIOMD0000000140	Hoffmann2002_WT_IkBNFkB_Signaling	SBML	L2V1	The IkappaB-NF-kappaB signaling module: temporal control and selective gene activation.	2002.0
BIOMD0000000141	Izhikevich2004_SpikingNeurons_Class1Excitable	SBML	L2V4	Which model to use for cortical spiking neurons?	2004.0
BIOMD0000000142	Izhikevich2004_SpikingNeurons_Class2Excitable	SBML	L2V4	Which model to use for cortical spiking neurons?	2004.0
BIOMD0000000143	Olsen2003_neutrophil_oscillatory_metabolism	SBML	L2V1	A model of the oscillatory metabolism of activated neutrophils.	2003.0
BIOMD0000000144	Calzone2007_CellCycle	SBML	L2V1	Dynamical modeling of syncytial mitotic cycles in Drosophila embryos.	2007.0
BIOMD0000000145	Wang2007 - ATP induced intracellular Calcium Oscillation	SBML	L2V1	A quantitative kinetic model for ATP-induced intracellular Ca2+ oscillations.	2007.0
BIOMD0000000146	Hatakeyama2003_MAPK	SBML	L2V1	A computational model on the modulation of mitogen-activated protein kinase (MAPK) and Akt pathways in heregulin-induced ErbB signalling.	2003.0
BIOMD0000000147	ODea2007_IkappaB	SBML	L2V4	A homeostatic model of IkappaB metabolism to control constitutive NF-kappaB activity.	2007.0
BIOMD0000000148	Komarova2003_BoneRemodeling	SBML	L2V3	Mathematical model predicts a critical role for osteoclast autocrine regulation in the control of bone remodeling.	2003.0
BIOMD0000000149	Kim2007 - Crosstalk between Wnt and ERK pathways	SBML	L2V4	A hidden oncogenic positive feedback loop caused by crosstalk between Wnt and ERK pathways.	2007.0
BIOMD0000000150	Morris2002_CellCycle_CDK2Cyclin	SBML	L2V1	Kinetic mechanism of activation of the Cdk2/cyclin A complex. Key role of the C-lobe of the Cdk.	2002.0
BIOMD0000000151	Singh2006_IL6_Signal_Transduction	SBML	L2V1	Modeling regulatory mechanisms in IL-6 signal transduction in hepatocytes.	2006.0
BIOMD0000000152	Fernandez2006_ModelA	SBML	L2V1	DARPP-32 is a robust integrator of dopamine and glutamate signals.	2006.0
BIOMD0000000153	Fernandez2006_ModelB	SBML	L2V1	DARPP-32 is a robust integrator of dopamine and glutamate signals.	2006.0
BIOMD0000000154	Zatorsky2006_p53_Model3	SBML	L2V1	Oscillations and variability in the p53 system.	2006.0
BIOMD0000000155	Zatorsky2006_p53_Model6	SBML	L2V1	Oscillations and variability in the p53 system.	2006.0
BIOMD0000000156	Zatorsky2006_p53_Model5	SBML	L2V1	Oscillations and variability in the p53 system.	2006.0
BIOMD0000000157	Zatorsky2006_p53_Model4	SBML	L2V1	Oscillations and variability in the p53 system.	2006.0
BIOMD0000000158	Zatorsky2006_p53_Model2	SBML	L2V1	Oscillations and variability in the p53 system.	2006.0
BIOMD0000000159	Zatorsky2006_p53_Model1	SBML	L2V1	Oscillations and variability in the p53 system.	2006.0
BIOMD0000000160	Xie2007_CircClock	SBML	L2V1	Modelling of circadian rhythms in Drosophila incorporating the interlocked PER/TIM and VRI/PDP1 feedback loops.	2007.0
BIOMD0000000161	Eungdamrong2007_Ras_Activation	SBML	L2V1	Compartment-specific feedback loop and regulated trafficking can result in sustained activation of Ras at the Golgi.	2007.0
BIOMD0000000162	Hernjak2005_Calcium_Signaling	SBML	L2V1	Modeling and analysis of calcium signaling events leading to long-term depression in cerebellar Purkinje cells.	2005.0
BIOMD0000000163	Zi2007_TGFbeta_signaling	SBML	L2V1	Constraint-based modeling and kinetic analysis of the Smad dependent TGF-beta signaling pathway.	2007.0
BIOMD0000000164	SmithAE2002_RanTransport	SBML	L2V1	Systems analysis of Ran transport.	2002.0
BIOMD0000000165	Saucerman2006_PKA	SBML	L2V1	Systems analysis of PKA-mediated phosphorylation gradients in live cardiac myocytes.	2006.0
BIOMD0000000166	Zhu2007_TF_modulated_by_Calcium	SBML	L2V4	A theoretical study on activation of transcription factor modulated by intracellular Ca2+ oscillations.	2007.0
BIOMD0000000167	Mayya2005_STATmodule	SBML	L2V1	STAT module can function as a biphasic amplitude filter.	2005.0
BIOMD0000000168	Obeyesekere1999_CellCycle	SBML	L2V1	A model of cell cycle behavior dominated by kinetics of a pathway stimulated by growth factors.	1999.0
BIOMD0000000169	Aguda1999_CellCycle	SBML	L2V1	The kinetic origins of the restriction point in the mammalian cell cycle.	1999.0
BIOMD0000000170	Weimann2004_CircadianOscillator	SBML	L2V1	Modeling feedback loops of the Mammalian circadian oscillator.	2004.0
BIOMD0000000171	Leloup1998_CircClock_LD	SBML	L2V1	A model for circadian rhythms in Drosophila incorporating the formation of a complex between the PER and TIM proteins.	1998.0
BIOMD0000000172	Pritchard2002_glycolysis	SBML	L2V1	Schemes of flux control in a model of Saccharomyces cerevisiae glycolysis.	2002.0
BIOMD0000000173	Schmierer_2008_Smad_Tgfb	SBML	L2V1	Mathematical modeling identifies Smad nucleocytoplasmic shuttling as a dynamic signal-interpreting system.	2008.0
BIOMD0000000174	Del_Conte_Zerial2008_Rab5_Rab7_cut_out_switch	SBML	L2V3	Membrane identity and GTPase cascades regulated by toggle and cut-out switches.	2008.0
BIOMD0000000175	Birtwistle2007_ErbB_Signalling	SBML	L2V3	Ligand-dependent responses of the ErbB signaling network: experimental and modeling analyses.	2007.0
BIOMD0000000176	Conant2007_WGD_glycolysis_2A3AB	SBML	L2V1	Increased glycolytic flux as an outcome of whole-genome duplication in yeast.	2007.0
BIOMD0000000177	Conant2007_glycolysis_2C	SBML	L2V1	Increased glycolytic flux as an outcome of whole-genome duplication in yeast.	2007.0
BIOMD0000000178	Lebeda2008 - BoTN Paralysis (4 step model)	SBML	L2V3	Onset dynamics of type A botulinum neurotoxin-induced paralysis.	2008.0
BIOMD0000000179	Kim2007_CellularMemory_AsymmetricModel	SBML	L2V3	Interlinked mutual inhibitory positive feedbacks induce robust cellular memory effects.	2007.0
BIOMD0000000180	Kim2007_CellularMemory_SymmetricModel	SBML	L2V3	Interlinked mutual inhibitory positive feedbacks induce robust cellular memory effects.	2007.0
BIOMD0000000181	Sriram2007_CellCycle	SBML	L2V3	A minimal mathematical model combining several regulatory cycles from the budding yeast cell cycle.	2007.0
BIOMD0000000182	Neves2008 - Role of cell shape and size in controlling intracellular signalling	SBML	L2V3	Cell shape and negative links in regulatory motifs together control spatial information flow in signaling networks.	2008.0
BIOMD0000000183	Stefan2008 - calmodulin allostery	SBML	L2V3	An allosteric model of calmodulin explains differential activation of PP2B and CaMKII.	2008.0
BIOMD0000000184	Lavrentovich2008_Ca_Oscillations	SBML	L2V3	A mathematical model of spontaneous calcium(II) oscillations in astrocytes.	2008.0
BIOMD0000000185	Locke2008_Circadian_Clock	SBML	L2V3	Global parameter search reveals design principles of the mammalian circadian clock.	2008.0
BIOMD0000000186	Ibrahim2008 - Mitotic Spindle Assembly Checkpoint - Dissociation variant	SBML	L2V3	In-silico modeling of the mitotic spindle assembly checkpoint.	2008.0
