biomodels_id	predicate	object_curie	object_label
BIOMD0000000004	http://biomodels.net/biology-qualifiers/isVersionOf	go:0000278	mitotic cell cycle
BIOMD0000000004	http://biomodels.net/biology-qualifiers/isHomologTo	reactome:REACT_152	
BIOMD0000000004	http://biomodels.net/biology-qualifiers/hasTaxon	ncbitaxon:8292	Amphibia
BIOMD0000000005	http://biomodels.net/model-qualifiers/is	biomodels.db:MODEL6614644188	
BIOMD0000000005	http://biomodels.net/model-qualifiers/is	biomodels.db:BIOMD0000000005	
BIOMD0000000005	http://biomodels.net/model-qualifiers/isDescribedBy	pubmed:1831270	
BIOMD0000000005	http://biomodels.net/biology-qualifiers/hasTaxon	ncbitaxon:33154	Opisthokonta
BIOMD0000000005	http://biomodels.net/biology-qualifiers/isVersionOf	kegg.pathway:sce04111	
BIOMD0000000005	http://biomodels.net/biology-qualifiers/isVersionOf	go:0000278	mitotic cell cycle
BIOMD0000000005	http://biomodels.net/biology-qualifiers/hasVersion	reactome:REACT_152	
BIOMD0000000006	http://biomodels.net/model-qualifiers/is	biomodels.db:MODEL6614715255	
BIOMD0000000006	http://biomodels.net/model-qualifiers/is	biomodels.db:BIOMD0000000006	
BIOMD0000000006	http://biomodels.net/model-qualifiers/isDescribedBy	pubmed:1831270	
BIOMD0000000006	http://biomodels.net/biology-qualifiers/hasTaxon	ncbitaxon:33154	Opisthokonta
BIOMD0000000006	http://biomodels.net/biology-qualifiers/is	kegg.pathway:sce04111	
BIOMD0000000006	http://biomodels.net/biology-qualifiers/isVersionOf	go:0000278	mitotic cell cycle
BIOMD0000000006	http://biomodels.net/biology-qualifiers/hasVersion	reactome:REACT_152	
BIOMD0000000007	http://biomodels.net/model-qualifiers/is	biomodels.db:MODEL6614787694	
BIOMD0000000007	http://biomodels.net/model-qualifiers/is	biomodels.db:BIOMD0000000007	
BIOMD0000000007	http://biomodels.net/model-qualifiers/isDescribedBy	pubmed:9256450	
BIOMD0000000007	http://biomodels.net/model-qualifiers/isDerivedFrom	pubmed:10395816	
BIOMD0000000007	http://biomodels.net/biology-qualifiers/hasTaxon	ncbitaxon:4896	Schizosaccharomyces pombe
BIOMD0000000007	http://biomodels.net/biology-qualifiers/isVersionOf	kegg.pathway:ko04110	
BIOMD0000000007	http://biomodels.net/biology-qualifiers/isVersionOf	go:0000278	mitotic cell cycle
BIOMD0000000007	http://biomodels.net/biology-qualifiers/isHomologTo	reactome:REACT_152	
BIOMD0000000008	http://biomodels.net/model-qualifiers/is	biomodels.db:MODEL6614879888	
BIOMD0000000008	http://biomodels.net/model-qualifiers/is	biomodels.db:BIOMD0000000008	
BIOMD0000000008	http://biomodels.net/model-qualifiers/isDescribedBy	pubmed:9826676	
BIOMD0000000008	http://biomodels.net/model-qualifiers/isDerivedFrom	biomodels.db:BIOMD0000000003	
BIOMD0000000008	http://biomodels.net/model-qualifiers/isDerivedFrom	biomodels.db:BIOMD0000000004	
BIOMD0000000008	http://biomodels.net/biology-qualifiers/isVersionOf	go:0000278	mitotic cell cycle
BIOMD0000000008	http://biomodels.net/biology-qualifiers/hasTaxon	ncbitaxon:8292	Amphibia
BIOMD0000000008	http://biomodels.net/biology-qualifiers/isHomologTo	reactome:REACT_152	
BIOMD0000000009	http://biomodels.net/model-qualifiers/is	biomodels.db:MODEL6615048798	
BIOMD0000000009	http://biomodels.net/model-qualifiers/is	biomodels.db:BIOMD0000000009	
BIOMD0000000009	http://biomodels.net/model-qualifiers/isDescribedBy	pubmed:8816754	
BIOMD0000000009	http://biomodels.net/biology-qualifiers/isHomologTo	reactome:REACT_634	
BIOMD0000000009	http://biomodels.net/biology-qualifiers/isVersionOf	go:0000165	MAPK cascade
BIOMD0000000009	http://biomodels.net/biology-qualifiers/hasTaxon	ncbitaxon:8355	Xenopus laevis
BIOMD0000000010	http://biomodels.net/model-qualifiers/is	biomodels.db:MODEL6615119181	
BIOMD0000000010	http://biomodels.net/model-qualifiers/is	biomodels.db:BIOMD0000000010	
BIOMD0000000010	http://biomodels.net/model-qualifiers/isDescribedBy	pubmed:10712587	
BIOMD0000000010	http://biomodels.net/biology-qualifiers/isVersionOf	go:0000165	MAPK cascade
BIOMD0000000010	http://biomodels.net/biology-qualifiers/isHomologTo	reactome:REACT_634	
BIOMD0000000010	http://biomodels.net/biology-qualifiers/hasTaxon	ncbitaxon:8355	Xenopus laevis
BIOMD0000000011	http://biomodels.net/model-qualifiers/is	biomodels.db:MODEL6615234250	
BIOMD0000000011	http://biomodels.net/model-qualifiers/is	biomodels.db:BIOMD0000000011	
BIOMD0000000011	http://biomodels.net/model-qualifiers/isDescribedBy	pubmed:10823939	
BIOMD0000000011	http://biomodels.net/model-qualifiers/isDerivedFrom	biomodels.db:BIOMD0000000009	
BIOMD0000000011	http://biomodels.net/model-qualifiers/isDerivedFrom	pubmed:6501300	
BIOMD0000000011	http://biomodels.net/model-qualifiers/isDerivedFrom	pubmed:6947258	
BIOMD0000000011	http://biomodels.net/biology-qualifiers/isHomologTo	reactome:REACT_634	
BIOMD0000000011	http://biomodels.net/biology-qualifiers/isVersionOf	go:0000165	MAPK cascade
BIOMD0000000011	http://biomodels.net/biology-qualifiers/hasTaxon	ncbitaxon:8355	Xenopus laevis
BIOMD0000000012	http://biomodels.net/model-qualifiers/is	biomodels.db:MODEL6615351360	
BIOMD0000000012	http://biomodels.net/model-qualifiers/is	biomodels.db:BIOMD0000000012	
BIOMD0000000012	http://biomodels.net/model-qualifiers/isDescribedBy	pubmed:10659856	
BIOMD0000000012	http://biomodels.net/biology-qualifiers/hasTaxon	ncbitaxon:562	Escherichia coli
BIOMD0000000012	http://biomodels.net/biology-qualifiers/isVersionOf	go:0040029	epigenetic regulation of gene expression
BIOMD0000000014	http://biomodels.net/model-qualifiers/is	biomodels.db:MODEL6616691524	
BIOMD0000000014	http://biomodels.net/model-qualifiers/is	biomodels.db:BIOMD0000000014	
BIOMD0000000014	http://biomodels.net/model-qualifiers/isDescribedBy	pubmed:10823939	
BIOMD0000000014	http://biomodels.net/model-qualifiers/isDerivedFrom	biomodels.db:BIOMD0000000011	
BIOMD0000000014	http://biomodels.net/biology-qualifiers/isVersionOf	go:0005078	MAP-kinase scaffold activity
BIOMD0000000014	http://biomodels.net/biology-qualifiers/isVersionOf	go:0000165	MAPK cascade
BIOMD0000000014	http://biomodels.net/biology-qualifiers/isHomologTo	reactome:REACT_634	
BIOMD0000000014	http://biomodels.net/biology-qualifiers/hasTaxon	ncbitaxon:8355	Xenopus laevis
BIOMD0000000015	http://biomodels.net/model-qualifiers/is	biomodels.db:MODEL6617035399	
BIOMD0000000015	http://biomodels.net/model-qualifiers/is	biomodels.db:BIOMD0000000015	
BIOMD0000000015	http://biomodels.net/model-qualifiers/isDescribedBy	pubmed:9664759	
BIOMD0000000015	http://biomodels.net/biology-qualifiers/hasTaxon	ncbitaxon:9606	Homo sapiens
BIOMD0000000015	http://biomodels.net/biology-qualifiers/is	kegg.pathway:hsa00230	
BIOMD0000000015	http://biomodels.net/biology-qualifiers/is	reactome:REACT_522	
BIOMD0000000015	http://biomodels.net/biology-qualifiers/isVersionOf	go:0006144	purine nucleobase metabolic process
BIOMD0000000016	http://biomodels.net/model-qualifiers/is	biomodels.db:MODEL6617161845	
BIOMD0000000016	http://biomodels.net/model-qualifiers/is	biomodels.db:BIOMD0000000016	
BIOMD0000000016	http://biomodels.net/model-qualifiers/isDescribedBy	pubmed:8587874	
BIOMD0000000016	http://biomodels.net/biology-qualifiers/is	kegg.pathway:dme04710	
BIOMD0000000016	http://biomodels.net/biology-qualifiers/hasTaxon	ncbitaxon:7227	Drosophila melanogaster
BIOMD0000000016	http://biomodels.net/biology-qualifiers/isVersionOf	go:0042752	regulation of circadian rhythm
BIOMD0000000017	http://biomodels.net/model-qualifiers/is	biomodels.db:MODEL6617235316	
BIOMD0000000017	http://biomodels.net/model-qualifiers/is	biomodels.db:BIOMD0000000017	
BIOMD0000000017	http://biomodels.net/model-qualifiers/isDescribedBy	pubmed:11932446	
BIOMD0000000017	http://biomodels.net/biology-qualifiers/isVersionOf	go:0006090	pyruvate metabolic process
BIOMD0000000017	http://biomodels.net/biology-qualifiers/isVersionOf	go:0006089	lactate metabolic process
BIOMD0000000017	http://biomodels.net/biology-qualifiers/isPartOf	kegg.pathway:map00620	
BIOMD0000000017	http://biomodels.net/biology-qualifiers/isPartOf	kegg.pathway:map00650	
BIOMD0000000017	http://biomodels.net/biology-qualifiers/hasTaxon	ncbitaxon:1358	Lactococcus lactis
BIOMD0000000017	http://biomodels.net/biology-qualifiers/hasProperty	mamo:0000046	ordinary differential equation model
BIOMD0000000018	http://biomodels.net/model-qualifiers/is	biomodels.db:MODEL6617317313	
BIOMD0000000018	http://biomodels.net/model-qualifiers/is	biomodels.db:BIOMD0000000018	
BIOMD0000000018	http://biomodels.net/model-qualifiers/isDescribedBy	pubmed:2732237	
BIOMD0000000018	http://biomodels.net/biology-qualifiers/hasTaxon	ncbitaxon:9606	Homo sapiens
BIOMD0000000018	http://biomodels.net/biology-qualifiers/hasPart	kegg.pathway:map00670	
BIOMD0000000018	http://biomodels.net/biology-qualifiers/hasPart	kegg.pathway:map00790	
BIOMD0000000018	http://biomodels.net/biology-qualifiers/isVersionOf	go:0046655	folic acid metabolic process
BIOMD0000000018	http://biomodels.net/biology-qualifiers/hasProperty	doid:1612	
BIOMD0000000020	http://biomodels.net/model-qualifiers/is	biomodels.db:MODEL6617668482	
BIOMD0000000020	http://biomodels.net/model-qualifiers/is	biomodels.db:BIOMD0000000020	
BIOMD0000000020	http://biomodels.net/model-qualifiers/isDescribedBy	pubmed:12991237	
BIOMD0000000020	http://biomodels.net/biology-qualifiers/isVersionOf	go:0019227	neuronal action potential propagation
BIOMD0000000020	http://biomodels.net/biology-qualifiers/isVersionOf	go:0005248	voltage-gated sodium channel activity
BIOMD0000000020	http://biomodels.net/biology-qualifiers/isVersionOf	go:0005249	voltage-gated potassium channel activity
BIOMD0000000020	http://biomodels.net/biology-qualifiers/hasTaxon	ncbitaxon:6618	Loligo forbesii
BIOMD0000000020	http://biomodels.net/biology-qualifiers/hasTaxon	go:0042757	giant axon
BIOMD0000000021	http://biomodels.net/model-qualifiers/is	biomodels.db:MODEL6617834203	
BIOMD0000000021	http://biomodels.net/model-qualifiers/is	biomodels.db:BIOMD0000000021	
BIOMD0000000021	http://biomodels.net/model-qualifiers/isDescribedBy	pubmed:10366496	
BIOMD0000000021	http://biomodels.net/model-qualifiers/isDerivedFrom	biomodels.db:BIOMD0000000171	
BIOMD0000000021	http://biomodels.net/biology-qualifiers/hasTaxon	ncbitaxon:7227	Drosophila melanogaster
BIOMD0000000021	http://biomodels.net/biology-qualifiers/is	kegg.pathway:dme04710	
BIOMD0000000021	http://biomodels.net/biology-qualifiers/isVersionOf	go:0042752	regulation of circadian rhythm
BIOMD0000000022	http://biomodels.net/model-qualifiers/is	biomodels.db:MODEL6617909980	
BIOMD0000000022	http://biomodels.net/model-qualifiers/is	biomodels.db:BIOMD0000000022	
BIOMD0000000022	http://biomodels.net/model-qualifiers/isDescribedBy	pubmed:11403560	
BIOMD0000000022	http://biomodels.net/model-qualifiers/isDerivedFrom	pubmed:10531060	
BIOMD0000000022	http://biomodels.net/biology-qualifiers/isVersionOf	kegg.pathway:dme04710	
BIOMD0000000022	http://biomodels.net/biology-qualifiers/hasTaxon	ncbitaxon:7227	Drosophila melanogaster
BIOMD0000000022	http://biomodels.net/biology-qualifiers/isVersionOf	go:0042752	regulation of circadian rhythm
BIOMD0000000023	http://biomodels.net/model-qualifiers/is	biomodels.db:MODEL6618063111	
BIOMD0000000023	http://biomodels.net/model-qualifiers/is	biomodels.db:BIOMD0000000023	
BIOMD0000000023	http://biomodels.net/model-qualifiers/isDescribedBy	pubmed:11513743	
BIOMD0000000023	http://biomodels.net/biology-qualifiers/hasTaxon	ncbitaxon:4547	Saccharum officinarum
BIOMD0000000023	http://biomodels.net/biology-qualifiers/isVersionOf	go:0005986	sucrose biosynthetic process
BIOMD0000000023	http://biomodels.net/biology-qualifiers/is	kegg.pathway:map00500	
BIOMD0000000024	http://biomodels.net/model-qualifiers/is	biomodels.db:MODEL6618241436	
BIOMD0000000024	http://biomodels.net/model-qualifiers/is	biomodels.db:BIOMD0000000024	
BIOMD0000000024	http://biomodels.net/model-qualifiers/isDescribedBy	pubmed:9870936	
BIOMD0000000024	http://biomodels.net/biology-qualifiers/hasTaxon	ncbitaxon:10036	Mesocricetus auratus
BIOMD0000000024	http://biomodels.net/biology-qualifiers/hasTaxon	ncbitaxon:7227	Drosophila melanogaster
BIOMD0000000024	http://biomodels.net/biology-qualifiers/is	kegg.pathway:dme04711	
BIOMD0000000024	http://biomodels.net/biology-qualifiers/isVersionOf	go:0042752	regulation of circadian rhythm
BIOMD0000000025	http://biomodels.net/model-qualifiers/is	biomodels.db:MODEL6618294363	
BIOMD0000000025	http://biomodels.net/model-qualifiers/is	biomodels.db:BIOMD0000000025	
BIOMD0000000025	http://biomodels.net/model-qualifiers/isDescribedBy	pubmed:12414672	
BIOMD0000000025	http://biomodels.net/model-qualifiers/isDerivedFrom	pubmed:11517254	
BIOMD0000000025	http://biomodels.net/biology-qualifiers/hasTaxon	ncbitaxon:7227	Drosophila melanogaster
BIOMD0000000025	http://biomodels.net/biology-qualifiers/is	kegg.pathway:dme04710	
BIOMD0000000025	http://biomodels.net/biology-qualifiers/isVersionOf	go:0032922	circadian regulation of gene expression
BIOMD0000000026	http://biomodels.net/model-qualifiers/is	biomodels.db:MODEL6618379269	
BIOMD0000000026	http://biomodels.net/model-qualifiers/is	biomodels.db:BIOMD0000000026	
BIOMD0000000026	http://biomodels.net/model-qualifiers/isDescribedBy	pubmed:14744999	
BIOMD0000000026	http://biomodels.net/biology-qualifiers/hasTaxon	ncbitaxon:8355	Xenopus laevis
BIOMD0000000026	http://biomodels.net/biology-qualifiers/isVersionOf	go:0000165	MAPK cascade
BIOMD0000000027	http://biomodels.net/model-qualifiers/is	biomodels.db:MODEL6618496308	
BIOMD0000000027	http://biomodels.net/model-qualifiers/is	biomodels.db:BIOMD0000000027	
BIOMD0000000027	http://biomodels.net/model-qualifiers/isDescribedBy	pubmed:14744999	
BIOMD0000000027	http://biomodels.net/biology-qualifiers/isVersionOf	go:0000165	MAPK cascade
BIOMD0000000027	http://biomodels.net/biology-qualifiers/hasTaxon	ncbitaxon:8355	Xenopus laevis
BIOMD0000000028	http://biomodels.net/model-qualifiers/is	biomodels.db:MODEL6618552953	
BIOMD0000000028	http://biomodels.net/model-qualifiers/is	biomodels.db:BIOMD0000000028	
BIOMD0000000028	http://biomodels.net/model-qualifiers/isDescribedBy	pubmed:14744999	
BIOMD0000000028	http://biomodels.net/biology-qualifiers/isVersionOf	go:0000165	MAPK cascade
BIOMD0000000028	http://biomodels.net/biology-qualifiers/hasTaxon	ncbitaxon:8355	Xenopus laevis
BIOMD0000000029	http://biomodels.net/model-qualifiers/is	biomodels.db:MODEL6618620128	
BIOMD0000000029	http://biomodels.net/model-qualifiers/is	biomodels.db:BIOMD0000000029	
BIOMD0000000029	http://biomodels.net/model-qualifiers/isDescribedBy	pubmed:14744999	
BIOMD0000000029	http://biomodels.net/biology-qualifiers/isVersionOf	go:0000165	MAPK cascade
BIOMD0000000029	http://biomodels.net/biology-qualifiers/hasTaxon	ncbitaxon:8355	Xenopus laevis
BIOMD0000000030	http://biomodels.net/model-qualifiers/is	biomodels.db:MODEL6618676537	
BIOMD0000000030	http://biomodels.net/model-qualifiers/is	biomodels.db:BIOMD0000000030	
BIOMD0000000030	http://biomodels.net/model-qualifiers/isDescribedBy	pubmed:14744999	
BIOMD0000000030	http://biomodels.net/biology-qualifiers/isVersionOf	go:0000165	MAPK cascade
BIOMD0000000030	http://biomodels.net/biology-qualifiers/hasTaxon	ncbitaxon:8355	Xenopus laevis
BIOMD0000000031	http://biomodels.net/model-qualifiers/is	biomodels.db:MODEL6618738800	
BIOMD0000000031	http://biomodels.net/model-qualifiers/is	biomodels.db:BIOMD0000000031	
BIOMD0000000031	http://biomodels.net/model-qualifiers/isDescribedBy	pubmed:14744999	
BIOMD0000000031	http://biomodels.net/biology-qualifiers/isVersionOf	go:0000165	MAPK cascade
BIOMD0000000031	http://biomodels.net/biology-qualifiers/hasTaxon	ncbitaxon:8355	Xenopus laevis
BIOMD0000000032	http://biomodels.net/model-qualifiers/is	biomodels.db:MODEL6618819961	
BIOMD0000000032	http://biomodels.net/model-qualifiers/is	biomodels.db:BIOMD0000000032	
BIOMD0000000032	http://biomodels.net/model-qualifiers/isDescribedBy	pubmed:15300679	
BIOMD0000000032	http://biomodels.net/biology-qualifiers/isVersionOf	go:0019236	response to pheromone
BIOMD0000000032	http://biomodels.net/biology-qualifiers/hasTaxon	ncbitaxon:4932	Saccharomyces cerevisiae
BIOMD0000000032	http://biomodels.net/biology-qualifiers/hasPart	go:0000165	MAPK cascade
BIOMD0000000033	http://biomodels.net/model-qualifiers/is	biomodels.db:MODEL6619514794	
BIOMD0000000033	http://biomodels.net/model-qualifiers/is	biomodels.db:BIOMD0000000033	
BIOMD0000000033	http://biomodels.net/model-qualifiers/isDescribedBy	pubmed:16204838	
BIOMD0000000033	http://biomodels.net/biology-qualifiers/isVersionOf	go:0070371	ERK1 and ERK2 cascade
BIOMD0000000033	http://biomodels.net/biology-qualifiers/hasTaxon	ncbitaxon:131567	cellular organisms
BIOMD0000000033	http://biomodels.net/biology-qualifiers/hasProperty	mamo:0000046	ordinary differential equation model
BIOMD0000000033	http://biomodels.net/biology-qualifiers/hasPart	go:0048011	neurotrophin TRK receptor signaling pathway
BIOMD0000000033	http://biomodels.net/biology-qualifiers/hasPart	go:0007173	epidermal growth factor receptor signaling pathway
BIOMD0000000034	http://biomodels.net/model-qualifiers/is	biomodels.db:MODEL6619579403	
BIOMD0000000034	http://biomodels.net/model-qualifiers/is	biomodels.db:BIOMD0000000034	
BIOMD0000000034	http://biomodels.net/model-qualifiers/isDescribedBy	pubmed:15111397	
BIOMD0000000034	http://biomodels.net/biology-qualifiers/hasTaxon	ncbitaxon:7227	Drosophila melanogaster
BIOMD0000000034	http://biomodels.net/biology-qualifiers/is	kegg.pathway:dme04710	
BIOMD0000000034	http://biomodels.net/biology-qualifiers/isVersionOf	go:0042752	regulation of circadian rhythm
BIOMD0000000035	http://biomodels.net/model-qualifiers/is	biomodels.db:MODEL6619651140	
BIOMD0000000035	http://biomodels.net/model-qualifiers/is	biomodels.db:BIOMD0000000035	
BIOMD0000000035	http://biomodels.net/model-qualifiers/isDescribedBy	pubmed:11972055	
BIOMD0000000035	http://biomodels.net/biology-qualifiers/isVersionOf	go:0042752	regulation of circadian rhythm
BIOMD0000000035	http://biomodels.net/biology-qualifiers/hasTaxon	ncbitaxon:131567	cellular organisms
BIOMD0000000036	http://biomodels.net/model-qualifiers/is	biomodels.db:MODEL6619720081	
BIOMD0000000036	http://biomodels.net/model-qualifiers/is	biomodels.db:BIOMD0000000036	
BIOMD0000000036	http://biomodels.net/model-qualifiers/isDescribedBy	pubmed:20540926	
BIOMD0000000036	http://biomodels.net/biology-qualifiers/is	kegg.pathway:dme04710	
BIOMD0000000036	http://biomodels.net/biology-qualifiers/hasTaxon	ncbitaxon:7227	Drosophila melanogaster
BIOMD0000000036	http://biomodels.net/biology-qualifiers/isVersionOf	go:0042752	regulation of circadian rhythm
BIOMD0000000037	http://biomodels.net/model-qualifiers/is	biomodels.db:BIOMD0000000037	
BIOMD0000000037	http://biomodels.net/model-qualifiers/is	biomodels.db:MODEL6621175859	
BIOMD0000000037	http://biomodels.net/model-qualifiers/isDescribedBy	pubmed:12750324	
BIOMD0000000037	http://biomodels.net/biology-qualifiers/isVersionOf	go:0010018	far-red light signaling pathway
BIOMD0000000037	http://biomodels.net/biology-qualifiers/isVersionOf	go:0042173	regulation of sporulation resulting in formation of a cellular spore
BIOMD0000000037	http://biomodels.net/biology-qualifiers/hasTaxon	ncbitaxon:5791	Physarum polycephalum
BIOMD0000000038	http://biomodels.net/model-qualifiers/is	biomodels.db:MODEL6621395815	
BIOMD0000000038	http://biomodels.net/model-qualifiers/is	biomodels.db:BIOMD0000000038	
BIOMD0000000038	http://biomodels.net/model-qualifiers/isDescribedBy	pubmed:10889194	
BIOMD0000000038	http://biomodels.net/biology-qualifiers/is	kegg.pathway:eco02060	
BIOMD0000000038	http://biomodels.net/biology-qualifiers/isVersionOf	go:0009401	phosphoenolpyruvate-dependent sugar phosphotransferase system
BIOMD0000000038	http://biomodels.net/biology-qualifiers/isVersionOf	go:0010827	regulation of glucose transmembrane transport
BIOMD0000000038	http://biomodels.net/biology-qualifiers/hasTaxon	ncbitaxon:562	Escherichia coli
BIOMD0000000038	http://biomodels.net/biology-qualifiers/hasProperty	mamo:0000046	ordinary differential equation model
BIOMD0000000039	http://biomodels.net/model-qualifiers/is	biomodels.db:MODEL6621933497	
BIOMD0000000039	http://biomodels.net/model-qualifiers/is	biomodels.db:BIOMD0000000039	
BIOMD0000000039	http://biomodels.net/model-qualifiers/isDescribedBy	pubmed:11004387	
BIOMD0000000039	http://biomodels.net/model-qualifiers/isDerivedFrom	pubmed:17029696	
BIOMD0000000039	http://biomodels.net/model-qualifiers/isDerivedFrom	pubmed:12362939	
BIOMD0000000039	http://biomodels.net/biology-qualifiers/hasTaxon	ncbitaxon:8355	Xenopus laevis
BIOMD0000000039	http://biomodels.net/biology-qualifiers/is	kegg.pathway:hsa04020	
BIOMD0000000039	http://biomodels.net/biology-qualifiers/is	go:0019722	calcium-mediated signaling
BIOMD0000000039	http://biomodels.net/biology-qualifiers/is	go:0048016	inositol phosphate-mediated signaling
BIOMD0000000040	http://biomodels.net/model-qualifiers/is	biomodels.db:MODEL6622000424	
BIOMD0000000040	http://biomodels.net/model-qualifiers/is	biomodels.db:BIOMD0000000040	
BIOMD0000000040	http://biomodels.net/model-qualifiers/isDescribedBy	doi:10.1063/1.1681288	
BIOMD0000000040	http://biomodels.net/biology-qualifiers/hasTaxon	ncbitaxon:131567	cellular organisms
BIOMD0000000040	http://biomodels.net/biology-qualifiers/isVersionOf	go:0007622	rhythmic behavior
BIOMD0000000041	http://biomodels.net/model-qualifiers/is	biomodels.db:MODEL6622188656	
BIOMD0000000041	http://biomodels.net/model-qualifiers/is	biomodels.db:BIOMD0000000041	
BIOMD0000000041	http://biomodels.net/model-qualifiers/isDescribedBy	doi:10.1038/npre.2007.1317.1	
BIOMD0000000041	http://biomodels.net/model-qualifiers/isDerivedFrom	pubmed:10751324	
BIOMD0000000041	http://biomodels.net/biology-qualifiers/isVersionOf	go:0006600	creatine metabolic process
BIOMD0000000041	http://biomodels.net/biology-qualifiers/isVersionOf	go:0046034	ATP metabolic process
BIOMD0000000041	http://biomodels.net/biology-qualifiers/hasTaxon	ncbitaxon:9984	Oryctolagus
BIOMD0000000042	http://biomodels.net/model-qualifiers/is	biomodels.db:MODEL6622455387	
BIOMD0000000042	http://biomodels.net/model-qualifiers/is	biomodels.db:BIOMD0000000042	
BIOMD0000000042	http://biomodels.net/model-qualifiers/isDescribedBy	pubmed:17029704	
BIOMD0000000042	http://biomodels.net/model-qualifiers/isDerivedFrom	pubmed:6454892	
BIOMD0000000042	http://biomodels.net/model-qualifiers/isDerivedFrom	pubmed:8061224	
BIOMD0000000042	http://biomodels.net/biology-qualifiers/isHomologTo	reactome:REACT_1383	
BIOMD0000000042	http://biomodels.net/biology-qualifiers/hasTaxon	ncbitaxon:4932	Saccharomyces cerevisiae
BIOMD0000000042	http://biomodels.net/biology-qualifiers/is	kegg.pathway:sce00010	
BIOMD0000000042	http://biomodels.net/biology-qualifiers/isVersionOf	go:0006096	glycolytic process
BIOMD0000000043	http://biomodels.net/model-qualifiers/is	biomodels.db:MODEL6622689184	
BIOMD0000000043	http://biomodels.net/model-qualifiers/is	biomodels.db:BIOMD0000000043	
BIOMD0000000043	http://biomodels.net/model-qualifiers/isDescribedBy	pubmed:17029867	
BIOMD0000000043	http://biomodels.net/biology-qualifiers/isVersionOf	go:0048016	inositol phosphate-mediated signaling
BIOMD0000000043	http://biomodels.net/biology-qualifiers/isVersionOf	go:0019722	calcium-mediated signaling
BIOMD0000000043	http://biomodels.net/biology-qualifiers/is	kegg.pathway:rno04020	
BIOMD0000000043	http://biomodels.net/biology-qualifiers/hasTaxon	ncbitaxon:10114	Rattus
BIOMD0000000044	http://biomodels.net/model-qualifiers/is	biomodels.db:MODEL6622948601	
BIOMD0000000044	http://biomodels.net/model-qualifiers/is	biomodels.db:BIOMD0000000044	
BIOMD0000000044	http://biomodels.net/model-qualifiers/isDescribedBy	pubmed:17029867	
BIOMD0000000044	http://biomodels.net/biology-qualifiers/isVersionOf	go:0019722	calcium-mediated signaling
BIOMD0000000044	http://biomodels.net/biology-qualifiers/isVersionOf	go:0048016	inositol phosphate-mediated signaling
BIOMD0000000044	http://biomodels.net/biology-qualifiers/isPartOf	kegg.pathway:rno04020	
BIOMD0000000044	http://biomodels.net/biology-qualifiers/hasTaxon	ncbitaxon:10114	Rattus
BIOMD0000000045	http://biomodels.net/model-qualifiers/is	biomodels.db:MODEL6623009547	
